CSP code,Value,Year
E22000290,11.29067227,2004
E22000031,13.64316893,2004
E22000037,10.85956038,2004
E22000291,12.53194993,2004
E22000251,12.65501074,2004
E22000137,11.53229415,2004
E22000303,8.150175422,2004
E22000186,23.45872834,2004
E22000187,14.14480899,2004
E22000259,11.06103685,2004
E22000032,19.25329946,2004
E22000079,12.03634739,2004
E22000109,13.72185158,2004
E22000252,13.72515157,2004
E22000001,10.61640824,2004
E22000009,14.28212652,2004
E22000188,13.61597342,2004
E22000335,16.47086522,2004
E22000164,8.062052714,2004
E22000150,20.42879973,2004
E22000151,30.08180631,2004
W14000019,14.57208053,2004
E22000038,14.00796185,2004
E22000099,14.8349218,2004
E22000173,13.30693751,2004
E22000063,18.18858303,2004
E22000304,11.37477218,2004
E22000342,15.85061385,2004
E22000080,8.440906379,2004
E22000218,8.358613567,2004
E22000189,21.93526748,2004
E22000081,7.883253452,2004
W14000013,10.77705442,2004
E22000292,18.40726525,2004
E22000002,23.42429304,2004
E22000219,6.419418535,2004
E22000190,14.1167211,2004
E22000123,13.43887022,2004
E22000152,19.20999056,2004
E22000100,10.84536379,2004
W14000018,14.67849456,2004
E22000343,16.55041543,2004
E22000013,18.10692985,2004
E22000191,24.95406118,2004
E22000263,16.9145988,2004
E22000138,9.660117515,2004
W14000015,11.37499645,2004
E22000033,15.93686549,2004
W14000010,12.08539217,2004
E22000082,6.914582545,2004
E22000353,8.962585883,2004
W14000008,12.10161663,2004
E22000165,12.49192193,2004
E22000083,8.719731701,2004
E22000093,18.30307116,2004
E22000305,10.30775045,2004
E22000354,10.11601941,2004
E22000355,12.65453339,2004
E22000039,16.52991198,2004
E22000293,7.627800327,2004
E22000306,7.016998457,2004
E22000153,12.43456771,2004
E22000180,69.68249508,2004
E22000084,12.50535764,2004
W14000003,15.52479692,2004
E22000034,16.21505376,2004
E22000233,23.2553813,2004
E22000356,12.54957895,2004
E22000094,8.093404242,2004
E22000365,8.744877784,2004
E22000336,17.9559586,2004
E22000294,15.8463701,2004
E22000193,18.65726981,2004
E22000124,11.70494859,2004
E22000072,8.133436679,2004
E22000352,13.72540503,2004
E22000357,6.578573548,2004
W14000004,17.84916498,2004
E22000040,21.01057138,2004
E22000041,8.082144501,2004
E22000260,17.42135121,2004
E22000367,7.89224823,2004
E22000140,12.9025618,2004
E22000337,11.2845436,2004
E22000194,18.81814927,2004
E22000362,9.221540803,2004
E22000014,6.960892679,2004
E22000110,8.239359767,2004
E22000125,8.439627154,2004
E22000174,12.03211529,2004
E22000235,9.440023724,2004
E22000133,10.0548418,2004
E22000264,17.30337079,2004
E22000295,19.77136032,2004
E22000111,10.93400304,2004
E22000035,8.542019341,2004
E22000279,6.238213834,2004
E22000195,14.0459292,2004
E22000085,10.34610478,2004
E22000280,7.311438014,2004
E22000042,11.3747865,2004
E22000049,19.20557919,2004
E22000112,10.40811999,2004
E22000015,13.43441347,2004
W14000005,11.21050768,2004
