CSPName,Violence (2015),Population (2015),Use
Adur,812,63429,63.429
Allerdale,1021,96660,96.66
Amber Valley,1092,124069,124.069
Arun,2113,155732,155.732
Ashfield,1486,123574,123.574
Ashford,1537,124250,124.25
Aylesbury Vale,1858,188707,188.707
Barking and Dagenham,3828,201979,201.979
Barnet,4142,379691,379.691
Barnsley,2797,239319,239.319
Barrow-in-Furness,1248,67515,67.515
Basildon,2667,181721,181.721
Basingstoke and Deane,2967,173856,173.856
Bassetlaw,1377,114533,114.533
Bath and North East Somerset,1843,184874,184.874
Bedford,2279,166252,166.252
Bexley,2446,242142,242.142
Birmingham,14559,1111307,1111.307
Blaby,542,96544,96.544
Blackburn with Darwen,2430,146846,146.846
Blackpool,4546,139578,139.578
Blaenau Gwent,970,69544,69.544
Bolsover,760,77780,77.78
Bolton,4304,281619,281.619
Boston,837,66902,66.902
Bournemouth,3321,194516,194.516
Bracknell Forest,990,118982,118.982
Bradford,9136,531176,531.176
Braintree,1443,150360,150.36
Breckland,1622,135480,135.48
Brent,5724,324012,324.012
Brentwood,606,76057,76.057
Bridgend,1355,142092,142.092
Brighton and Hove,5529,285276,285.276
"Bristol, City of",8797,449328,449.328
Broadland,1234,126628,126.628
Bromley,3791,324857,324.857
Broxbourne,1244,96217,96.217
Burnley,1736,87371,87.371
Bury,2342,187884,187.884
Caerphilly,2313,180164,180.164
Calderdale,3785,208402,208.402
Cambridge,1817,130907,130.907
Camden,4725,241059,241.059
Cannock Chase,1354,98535,98.535
Canterbury,2419,159965,159.965
Cardiff,5483,357160,357.16
Carlisle,1734,108155,108.155
Carmarthenshire,1882,185123,185.123
Castle Point,813,89173,89.173
Central Bedfordshire,2128,274022,274.022
Ceredigion,731,74642,74.642
Charnwood,1360,176720,176.72
Chelmsford,2067,172638,172.638
Cheltenham,1234,116781,116.781
Cherwell,1586,145550,145.55
Cheshire East,3857,375392,375.392
Cheshire West and Chester,3849,333917,333.917
Chesterfield,1191,104407,104.407
Chichester,1030,116976,116.976
Chiltern,618,94545,94.545
Chorley,1276,112969,112.969
City of London,689,8760,8.76
Colchester,2795,183939,183.939
Conwy,1620,116218,116.218
Copeland,897,69647,69.647
Corby,1475,66854,66.854
Cornwall,5686,549404,549.404
Cotswold,453,85162,85.162
County Durham,5596,519695,519.695
Coventry,3589,345385,345.385
Crawley,2157,110864,110.864
Croydon,6372,379031,379.031
Dacorum,1599,151350,151.35
Darlington,1528,105389,105.389
Dartford and Gravesham,3804,210191,210.191
Daventry and South Northamptonshire,1752,169130,169.13
Denbighshire,1749,94691,94.691
Derby,4138,254251,254.251
Derbyshire Dales,399,71145,71.145
Doncaster,4640,304813,304.813
Dorset,3886,420585,420.585
Dover,1817,113228,113.228
Dudley,2621,316464,316.464
Ealing,5764,343059,343.059
East and Mid Devon,1674,217651,217.651
East Cambridgeshire,559,87306,87.306
East Hampshire,1242,118077,118.077
East Hertfordshire,1268,144719,144.719
East Lindsey,1262,137887,137.887
East Northamptonshire,850,89746,89.746
East Riding of Yorkshire,2899,336685,336.685
East Staffordshire,1645,116040,116.04
Eastbourne,1832,102465,102.465
Eastleigh,1737,129027,129.027
Eden,355,52565,52.565
Elmbridge,1337,132670,132.67
Enfield,4262,328433,328.433
Epping Forest,1376,129677,129.677
Epsom and Ewell,929,78950,78.95
Erewash,1247,114510,114.51
Exeter,1820,127308,127.308
Fareham,1355,114799,114.799
Fenland,1252,99171,99.171
Flintshire,1773,154074,154.074
Forest of Dean,489,84544,84.544
Fylde,737,77322,77.322
Gateshead,2183,200996,200.996
Gloucester,1973,127158,127.158
Gosport,1776,84672,84.672
Great Yarmouth,2146,98667,98.667
Greenwich,4933,274803,274.803
Guildford,1641,146080,146.08
Gwynedd,1606,122864,122.864
Hackney,5230,269009,269.009
Halton,1875,126528,126.528
