Area Name,Area Code,Value,Year
Adur,E07000223,677,2004
Allerdale,E07000026,1294,2004
Amber Valley,E07000032,1286,2004
Arun,E07000224,1819,2004
Ashfield,E07000170,1444,2004
Ashford,E07000105,1237,2004
Aylesbury Vale,E07000004,1352,2004
Barking and Dagenham,E09000002,3885,2004
Barnet,E09000003,4579,2004
Barnsley,E08000016,2447,2004
Barrow-in-Furness,E07000027,1364,2004
Basildon,E07000066,2020,2004
Basingstoke and Deane,E07000084,2137,2004
Bassetlaw,E07000171,1510,2004
Bath and North East Somerset,E06000022,1811,2004
Bedford,E06000055,2161,2004
Bexley,E09000004,3008,2004
Birmingham,E08000025,16510,2004
Blaby,E07000129,739,2004
Blackburn with Darwen,E06000008,2889,2004
Blackpool,E06000009,4306,2004
Bolsover,E07000033,1031,2004
Bolton,E08000001,3924,2004
Boston,E07000136,773,2004
Bournemouth,E06000028,2982,2004
Bracknell Forest,E06000036,1242,2004
Bradford,E08000032,7682,2004
Braintree,E07000067,1160,2004
Breckland,E07000143,1036,2004
Brent,E09000005,5886,2004
Brentwood,E07000068,551,2004
Brighton and Hove,E06000043,4599,2004
Bristol City of,E06000023,9270,2004
Broadland,E07000144,777,2004
Bromley,E09000006,4197,2004
Broxbourne,E07000095,1180,2004
Burnley,E07000117,1689,2004
Bury,E08000002,1963,2004
Calderdale,E08000033,3227,2004
Cambridge,E07000008,2031,2004
Camden,E09000007,5174,2004
Cannock Chase,E07000192,1593,2004
Canterbury,E07000106,1358,2004
Carlisle,E07000028,1664,2004
Castle Point,E07000069,603,2004
Central Bedfordshire,E06000056,2155,2004
Charnwood,E07000130,1933,2004
Chelmsford,E07000070,1417,2004
Cheltenham,E07000078,2009,2004
Cherwell,E07000177,1391,2004
Cheshire East,E06000049,3615,2004
Cheshire West and Chester,E06000050,4119,2004
Chesterfield,E07000034,1662,2004
Chichester,E07000225,825,2004
Chiltern,E07000005,632,2004
Chorley,E07000118,1278,2004
City of London,E09000001,496,2004
Colchester,E07000071,1984,2004
Copeland,E07000029,1131,2004
Corby,E07000150,1250,2004
Cornwall,E06000052,6423,2004
Cotswold,E07000079,662,2004
County Durham,E06000047,4330,2004
Coventry,E08000026,5354,2004
Crawley,E07000226,1567,2004
Croydon,E09000008,6290,2004
Dacorum,E07000096,1620,2004
Darlington,E06000005,808,2004
Derby,E06000015,4927,2004
Derbyshire Dales,E07000035,562,2004
Doncaster,E08000017,5067,2004
Dover,E07000108,1379,2004
Dudley,E08000027,3455,2004
Ealing,E09000009,5835,2004
East Cambridgeshire,E07000009,529,2004
East Hampshire,E07000085,906,2004
East Hertfordshire,E07000242,1101,2004
East Lindsey,E07000137,1623,2004
East Northamptonshire,E07000152,764,2004
East Riding of Yorkshire,E06000011,3269,2004
East Staffordshire,E07000193,1848,2004
Eastbourne,E07000061,1854,2004
Eastleigh,E07000086,1280,2004
Eden,E07000030,439,2004
Elmbridge,E07000207,784,2004
Enfield,E09000010,3964,2004
Epping Forest,E07000072,1257,2004
Epsom and Ewell,E07000208,500,2004
Erewash,E07000036,1252,2004
Exeter,E07000041,2126,2004
Fareham,E07000087,1129,2004
Fenland,E07000010,1182,2004
Forest of Dean,E07000080,801,2004
Fylde,E07000119,646,2004
Gateshead,E08000037,2188,2004
Gloucester,E07000081,2389,2004
Gosport,E07000088,1197,2004
Great Yarmouth,E07000145,1813,2004
Greenwich,E09000011,5622,2004
Guildford,E07000209,1239,2004
Hackney,E09000012,5220,2004
Halton,E06000006,2353,2004
Hammersmith and Fulham,E09000013,3264,2004
Harborough,E07000131,680,2004
Haringey,E09000014,4370,2004
Harlow,E07000073,1471,2004
Harrow,E09000015,2208,2004
Hart,E07000089,513,2004
Hartlepool,E06000001,1828,2004
Hastings,E07000062,2188,2004
Havant,E07000090,1706,2004
Havering,E09000016,3178,2004
Herefordshire County of,E06000019,1683,2004
Hertsmere,E07000098,1036,2004
High Peak,E07000037,1039,2004
Hillingdon,E09000017,4220,2004
Hinckley and Bosworth,E07000132,1048,2004
Horsham,E07000227,1000,2004
Hounslow,E09000018,4500,2004
Huntingdonshire,E07000011,1547,2004
Hyndburn,E07000120,1287,2004
