Date,GRA Purchases,PRGT 1/2/,Totals(bn),Totals,Year,Month,,Day
08/31/2022,93769635059,15254184552,1.09E+02,1.09E+11,2022,8,31/2022,31
12/31/2021,89474552025,14554823681,1.04E+02,1.04E+11,2021,12,31/2021,31
12/31/2020,93408630285,12481816684,1.06E+02,1.06E+11,2020,12,31/2020,31
12/31/2019,66945509865,6590835450,7.35E+01,73536345315,2019,12,31/2019,31
12/31/2018,55395611392,6426181029,6.18E+01,61821792421,2018,12,31/2018,31
12/31/2017,39585385873,6522280669,4.61E+01,46107666542,2017,12,31/2017,31
12/31/2016,49267630851,6482647937,5.58E+01,55750278788,2016,12,31/2016,31
12/31/2015,50757840741,6575911158,5.73E+01,57333751899,2015,12,31/2015,31
12/31/2014,69041563463,6292755583,7.53E+01,75334319046,2014,12,31/2014,31
12/31/2013,83899249061,6174392682,9.01E+01,90073641743,2013,12,31/2013,31
12/31/2012,90042348252,5766292503,9.58E+01,95808640755,2012,12,31/2012,31
12/31/2011,87276915790,5308609594,9.26E+01,92585525384,2011,12,31/2011,31
12/31/2010,55620104510,4819344134,6.04E+01,60439448644,2010,12,31/2010,31
12/31/2009,37221142436,5079705286,4.23E+01,42300847722,2009,12,31/2009,31
12/31/2008,17514964723,3972372030,2.15E+01,21487336753,2008,12,31/2008,31
12/31/2007,6036146757,3796945581,9.83E+00,9833092338,2007,12,31/2007,31
12/31/2006,9822640239,3844020520,1.37E+01,13666660759,2006,12,31/2006,31
12/31/2005,28432143237,6282121668,3.47E+01,34714264905,2005,12,31/2005,31
12/31/2004,55373766674,6766029353,6.21E+01,62139796027,2004,12,31/2004,31
12/31/2003,65032062712,6880893268,7.19E+01,71912955980,2003,12,31/2003,31
12/31/2002,63601058794,6868671012,7.05E+01,70469729806,2002,12,31/2002,31
12/31/2001,53477225409,6424578684,5.99E+01,59901804093,2001,12,31/2001,31
12/31/2000,42990531049,6331595468,4.93E+01,49322126517,2000,12,31/2000,31
12/31/1999,51061861875,6434274362,5.75E+01,57496136237,1999,12,31/1999,31
12/31/1998,60451017051,6288825925,6.67E+01,66739842976,1998,12,31/1998,31
12/31/1997,46559033783,6009867422,5.26E+01,52568901205,1997,12,31/1997,31
12/31/1996,36127472805,5881609752,4.20E+01,42009082557,1996,12,31/1996,31
12/31/1995,35929173412,5657438528,4.16E+01,41586611940,1995,12,31/1995,31
12/31/1994,25611676952,4599768498,3.02E+01,30211445450,1994,12,31/1994,31
12/31/1993,25196745031,3942792899,2.91E+01,29139537930,1993,12,31/1993,31
12/31/1992,23967172718,3804463796,2.78E+01,27771636514,1992,12,31/1992,31
12/31/1991,23378573926,3285717796,2.67E+01,26664291722,1991,12,31/1991,31
12/31/1990,20731851093,2571911617,2.33E+01,23303762710,1990,12,31/1990,31
12/31/1989,22315104224,2334886562,2.46E+01,24649990786,1989,12,31/1989,31
12/31/1988,24750004884,1773964293,2.65E+01,26523969177,1988,12,31/1988,31
12/31/1987,28751979125,1866342930,3.06E+01,30618322055,1987,12,31/1987,31
12/31/1986,33334905644,2013169931,3.53E+01,35348075575,1986,12,31/1986,31
12/31/1985,35194787249,2470247948,3.77E+01,37665035197,1985,12,31/1985,31
12/31/1984,34936772393,2769874900,3.77E+01,37706647293,1984,12,31/1984,31
